"","date","hits","keyword","geo","time","gprop","category"
"1",2017-05-21,93,"Outdoor dates","US","today+5-y","web",0
"2",2017-05-28,38,"Outdoor dates","US","today+5-y","web",0
"3",2017-06-04,98,"Outdoor dates","US","today+5-y","web",0
"4",2017-06-11,43,"Outdoor dates","US","today+5-y","web",0
"5",2017-06-18,41,"Outdoor dates","US","today+5-y","web",0
"6",2017-06-25,100,"Outdoor dates","US","today+5-y","web",0
"7",2017-07-02,71,"Outdoor dates","US","today+5-y","web",0
"8",2017-07-09,100,"Outdoor dates","US","today+5-y","web",0
"9",2017-07-16,73,"Outdoor dates","US","today+5-y","web",0
"10",2017-07-23,99,"Outdoor dates","US","today+5-y","web",0
"11",2017-07-30,66,"Outdoor dates","US","today+5-y","web",0
"12",2017-08-06,42,"Outdoor dates","US","today+5-y","web",0
"13",2017-08-13,30,"Outdoor dates","US","today+5-y","web",0
"14",2017-08-20,29,"Outdoor dates","US","today+5-y","web",0
"15",2017-08-27,47,"Outdoor dates","US","today+5-y","web",0
"16",2017-09-03,51,"Outdoor dates","US","today+5-y","web",0
"17",2017-09-10,22,"Outdoor dates","US","today+5-y","web",0
"18",2017-09-17,51,"Outdoor dates","US","today+5-y","web",0
"19",2017-09-24,63,"Outdoor dates","US","today+5-y","web",0
"20",2017-10-01,23,"Outdoor dates","US","today+5-y","web",0
"21",2017-10-08,33,"Outdoor dates","US","today+5-y","web",0
"22",2017-10-15,34,"Outdoor dates","US","today+5-y","web",0
"23",2017-10-22,45,"Outdoor dates","US","today+5-y","web",0
"24",2017-10-29,39,"Outdoor dates","US","today+5-y","web",0
"25",2017-11-05,28,"Outdoor dates","US","today+5-y","web",0
"26",2017-11-12,22,"Outdoor dates","US","today+5-y","web",0
"27",2017-11-19,24,"Outdoor dates","US","today+5-y","web",0
"28",2017-11-26,49,"Outdoor dates","US","today+5-y","web",0
"29",2017-12-03,16,"Outdoor dates","US","today+5-y","web",0
"30",2017-12-10,50,"Outdoor dates","US","today+5-y","web",0
"31",2017-12-17,41,"Outdoor dates","US","today+5-y","web",0
"32",2017-12-24,57,"Outdoor dates","US","today+5-y","web",0
"33",2017-12-31,57,"Outdoor dates","US","today+5-y","web",0
"34",2018-01-07,44,"Outdoor dates","US","today+5-y","web",0
"35",2018-01-14,33,"Outdoor dates","US","today+5-y","web",0
"36",2018-01-21,86,"Outdoor dates","US","today+5-y","web",0
"37",2018-01-28,32,"Outdoor dates","US","today+5-y","web",0
"38",2018-02-04,32,"Outdoor dates","US","today+5-y","web",0
"39",2018-02-11,66,"Outdoor dates","US","today+5-y","web",0
"40",2018-02-18,22,"Outdoor dates","US","today+5-y","web",0
"41",2018-02-25,27,"Outdoor dates","US","today+5-y","web",0
"42",2018-03-04,11,"Outdoor dates","US","today+5-y","web",0
"43",2018-03-11,27,"Outdoor dates","US","today+5-y","web",0
"44",2018-03-18,43,"Outdoor dates","US","today+5-y","web",0
"45",2018-03-25,28,"Outdoor dates","US","today+5-y","web",0
"46",2018-04-01,45,"Outdoor dates","US","today+5-y","web",0
"47",2018-04-08,33,"Outdoor dates","US","today+5-y","web",0
"48",2018-04-15,33,"Outdoor dates","US","today+5-y","web",0
"49",2018-04-22,55,"Outdoor dates","US","today+5-y","web",0
"50",2018-04-29,65,"Outdoor dates","US","today+5-y","web",0
"51",2018-05-06,22,"Outdoor dates","US","today+5-y","web",0
"52",2018-05-13,51,"Outdoor dates","US","today+5-y","web",0
"53",2018-05-20,51,"Outdoor dates","US","today+5-y","web",0
"54",2018-05-27,92,"Outdoor dates","US","today+5-y","web",0
"55",2018-06-03,45,"Outdoor dates","US","today+5-y","web",0
"56",2018-06-10,51,"Outdoor dates","US","today+5-y","web",0
"57",2018-06-17,46,"Outdoor dates","US","today+5-y","web",0
"58",2018-06-24,46,"Outdoor dates","US","today+5-y","web",0
"59",2018-07-01,42,"Outdoor dates","US","today+5-y","web",0
"60",2018-07-08,40,"Outdoor dates","US","today+5-y","web",0
"61",2018-07-15,57,"Outdoor dates","US","today+5-y","web",0
"62",2018-07-22,82,"Outdoor dates","US","today+5-y","web",0
"63",2018-07-29,75,"Outdoor dates","US","today+5-y","web",0
"64",2018-08-05,46,"Outdoor dates","US","today+5-y","web",0
"65",2018-08-12,35,"Outdoor dates","US","today+5-y","web",0
"66",2018-08-19,35,"Outdoor dates","US","today+5-y","web",0
"67",2018-08-26,11,"Outdoor dates","US","today+5-y","web",0
"68",2018-09-02,45,"Outdoor dates","US","today+5-y","web",0
"69",2018-09-09,17,"Outdoor dates","US","today+5-y","web",0
"70",2018-09-16,61,"Outdoor dates","US","today+5-y","web",0
"71",2018-09-23,39,"Outdoor dates","US","today+5-y","web",0
"72",2018-09-30,11,"Outdoor dates","US","today+5-y","web",0
"73",2018-10-07,28,"Outdoor dates","US","today+5-y","web",0
"74",2018-10-14,23,"Outdoor dates","US","today+5-y","web",0
"75",2018-10-21,17,"Outdoor dates","US","today+5-y","web",0
"76",2018-10-28,17,"Outdoor dates","US","today+5-y","web",0
"77",2018-11-04,54,"Outdoor dates","US","today+5-y","web",0
"78",2018-11-11,28,"Outdoor dates","US","today+5-y","web",0
"79",2018-11-18,12,"Outdoor dates","US","today+5-y","web",0
"80",2018-11-25,16,"Outdoor dates","US","today+5-y","web",0
"81",2018-12-02,49,"Outdoor dates","US","today+5-y","web",0
"82",2018-12-09,28,"Outdoor dates","US","today+5-y","web",0
"83",2018-12-16,57,"Outdoor dates","US","today+5-y","web",0
"84",2018-12-23,32,"Outdoor dates","US","today+5-y","web",0
"85",2018-12-30,41,"Outdoor dates","US","today+5-y","web",0
"86",2019-01-06,28,"Outdoor dates","US","today+5-y","web",0
"87",2019-01-13,27,"Outdoor dates","US","today+5-y","web",0
"88",2019-01-20,50,"Outdoor dates","US","today+5-y","web",0
"89",2019-01-27,30,"Outdoor dates","US","today+5-y","web",0
"90",2019-02-03,68,"Outdoor dates","US","today+5-y","web",0
"91",2019-02-10,39,"Outdoor dates","US","today+5-y","web",0
"92",2019-02-17,60,"Outdoor dates","US","today+5-y","web",0
"93",2019-02-24,44,"Outdoor dates","US","today+5-y","web",0
"94",2019-03-03,15,"Outdoor dates","US","today+5-y","web",0
"95",2019-03-10,30,"Outdoor dates","US","today+5-y","web",0
"96",2019-03-17,41,"Outdoor dates","US","today+5-y","web",0
"97",2019-03-24,46,"Outdoor dates","US","today+5-y","web",0
"98",2019-03-31,31,"Outdoor dates","US","today+5-y","web",0
"99",2019-04-07,51,"Outdoor dates","US","today+5-y","web",0
"100",2019-04-14,63,"Outdoor dates","US","today+5-y","web",0
"101",2019-04-21,47,"Outdoor dates","US","today+5-y","web",0
"102",2019-04-28,81,"Outdoor dates","US","today+5-y","web",0
"103",2019-05-05,41,"Outdoor dates","US","today+5-y","web",0
"104",2019-05-12,37,"Outdoor dates","US","today+5-y","web",0
"105",2019-05-19,48,"Outdoor dates","US","today+5-y","web",0
"106",2019-05-26,64,"Outdoor dates","US","today+5-y","web",0
"107",2019-06-02,52,"Outdoor dates","US","today+5-y","web",0
"108",2019-06-09,62,"Outdoor dates","US","today+5-y","web",0
"109",2019-06-16,37,"Outdoor dates","US","today+5-y","web",0
"110",2019-06-23,59,"Outdoor dates","US","today+5-y","web",0
"111",2019-06-30,60,"Outdoor dates","US","today+5-y","web",0
"112",2019-07-07,83,"Outdoor dates","US","today+5-y","web",0
"113",2019-07-14,48,"Outdoor dates","US","today+5-y","web",0
"114",2019-07-21,70,"Outdoor dates","US","today+5-y","web",0
"115",2019-07-28,76,"Outdoor dates","US","today+5-y","web",0
"116",2019-08-04,59,"Outdoor dates","US","today+5-y","web",0
"117",2019-08-11,46,"Outdoor dates","US","today+5-y","web",0
"118",2019-08-18,41,"Outdoor dates","US","today+5-y","web",0
"119",2019-08-25,55,"Outdoor dates","US","today+5-y","web",0
"120",2019-09-01,58,"Outdoor dates","US","today+5-y","web",0
"121",2019-09-08,52,"Outdoor dates","US","today+5-y","web",0
"122",2019-09-15,38,"Outdoor dates","US","today+5-y","web",0
"123",2019-09-22,34,"Outdoor dates","US","today+5-y","web",0
"124",2019-09-29,34,"Outdoor dates","US","today+5-y","web",0
"125",2019-10-06,43,"Outdoor dates","US","today+5-y","web",0
"126",2019-10-13,43,"Outdoor dates","US","today+5-y","web",0
"127",2019-10-20,38,"Outdoor dates","US","today+5-y","web",0
"128",2019-10-27,19,"Outdoor dates","US","today+5-y","web",0
"129",2019-11-03,43,"Outdoor dates","US","today+5-y","web",0
"130",2019-11-10,46,"Outdoor dates","US","today+5-y","web",0
"131",2019-11-17,19,"Outdoor dates","US","today+5-y","web",0
"132",2019-11-24,29,"Outdoor dates","US","today+5-y","web",0
"133",2019-12-01,55,"Outdoor dates","US","today+5-y","web",0
"134",2019-12-08,28,"Outdoor dates","US","today+5-y","web",0
"135",2019-12-15,29,"Outdoor dates","US","today+5-y","web",0
